name*,version*,license*,vendor/community,end-of-support,dependencies,language
apidevtools/json-schema-ref-parser,9.0.9,MIT,https://github.com/APIDevTools/json-schema-ref-parser,,,
apidevtools/openapi-schemas,2.1.0,MIT,https://github.com/APIDevTools/openapi-schemas,,,
apidevtools/swagger-methods,3.0.2,MIT,https://github.com/APIDevTools/swagger-methods,,,
apidevtools/swagger-parser,10.0.3,MIT,https://github.com/APIDevTools/swagger-parser,,,
jsdevtools/ono,7.1.3,MIT,https://github.com/JS-DevTools/ono,,,
types/json-schema,7.0.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,,,
accepts,1.3.7,MIT,https://github.com/jshttp/accepts,,,
agentkeepalive,3.5.2,MIT,https://github.com/node-modules/agentkeepalive,,,
ajv,6.12.6,MIT,https://github.com/ajv-validator/ajv,,,
ansi-colors,3.2.3,MIT,https://github.com/doowb/ansi-colors,,,
ansi-regex,2.1.1,MIT,https://github.com/chalk/ansi-regex,,,
ansi-regex,3.0.0,MIT,https://github.com/chalk/ansi-regex,,,
ansi-regex,4.1.0,MIT,https://github.com/chalk/ansi-regex,,,
ansi-styles,2.2.1,MIT,https://github.com/chalk/ansi-styles,,,
ansi-styles,3.2.1,MIT,https://github.com/chalk/ansi-styles,,,
anymatch,3.1.2,ISC,https://github.com/micromatch/anymatch,,,
argparse,1.0.10,MIT,https://github.com/nodeca/argparse,,,
argparse,2.0.1,Python-2.0,https://github.com/nodeca/argparse,,,
array-flatten,1.1.1,MIT,https://github.com/blakeembrey/array-flatten,,,
asn1,0.2.6,MIT,https://github.com/joyent/node-asn1,,,
assert-plus,1.0.0,MIT,https://github.com/mcavage/node-assert-plus,,,
async,1.5.2,MIT,https://github.com/caolan/async,,,
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit,,,
aws-sign2,0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign,,,
aws4,1.11.0,MIT,https://github.com/mhart/aws4,,,
balanced-match,1.0.2,MIT,https://github.com/juliangruber/balanced-match,,,
basic-auth,2.0.1,MIT,https://github.com/jshttp/basic-auth,,,
bcrypt-pbkdf,1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf,,,
binary-extensions,2.2.0,MIT,https://github.com/sindresorhus/binary-extensions,,,
bluebird,3.7.2,MIT,https://github.com/petkaantonov/bluebird,,,
body-parser,1.19.1,MIT,https://github.com/expressjs/body-parser,,,
brace-expansion,1.1.11,MIT,https://github.com/juliangruber/brace-expansion,,,
braces,3.0.2,MIT,https://github.com/micromatch/braces,,,
browser-stdout,1.3.1,ISC,https://github.com/kumavis/browser-stdout,,,
buffer-equal-constant-time,1.0.1,BSD-3-Clause,https://github.com/goinstant/buffer-equal-constant-time,,,
