name*,version*,license*,vendor/community,end-of-support,dependencies,language
accepts,1.3.7,MIT,https://github.com/jshttp/accepts,,,
array-flatten,1.1.1,MIT,https://github.com/blakeembrey/array-flatten,,,
async,1.5.2,MIT,https://github.com/caolan/async,,,
bluebird,3.5.1,MIT,https://github.com/petkaantonov/bluebird,,,
body-parser,1.19.0,MIT,https://github.com/expressjs/body-parser,,,
buffer-equal-constant-time,1.0.1,BSD-3-Clause,https://github.com/goinstant/buffer-equal-constant-time,,,
bytes,3.1.0,MIT,https://github.com/visionmedia/bytes.js,,,
cluster-key-slot,1.0.8,MIT,https://github.com/Salakar/cluster-key-slot,,,
content-disposition,0.5.3,MIT,https://github.com/jshttp/content-disposition,,,
content-type,1.0.4,MIT,https://github.com/jshttp/content-type,,,
cookie-signature,1.0.6,MIT,https://github.com/visionmedia/node-cookie-signature,,,
cookie,0.4.0,MIT,https://github.com/jshttp/cookie,,,
date-format,2.1.0,MIT,https://github.com/nomiddlename/date-format,,,
date-format,3.0.0,MIT,https://github.com/nomiddlename/date-format,,,
debug,2.6.9,MIT,https://github.com/visionmedia/debug,,,
debug,4.3.1,MIT,https://github.com/visionmedia/debug,,,
denque,1.2.3,MIT,https://github.com/Salakar/denque,,,
depd,1.1.2,MIT,https://github.com/dougwilson/nodejs-depd,,,
destroy,1.0.4,MIT,https://github.com/stream-utils/destroy,,,
ecdsa-sig-formatter,1.0.11,Apache-2.0,https://github.com/Brightspace/node-ecdsa-sig-formatter,,,
ee-first,1.1.1,MIT,https://github.com/jonathanong/ee-first,,,
encodeurl,1.0.2,MIT,https://github.com/pillarjs/encodeurl,,,
escape-html,1.0.3,MIT,https://github.com/component/escape-html,,,
etag,1.8.1,MIT,https://github.com/jshttp/etag,,,
express-jwt,5.3.3,MIT,https://github.com/auth0/express-jwt,,,
express-unless,0.3.1,MIT,https://github.com/jfromaniello/express-unless,,,
express,4.17.1,MIT,https://github.com/expressjs/express,,,
finalhandler,1.1.2,MIT,https://github.com/pillarjs/finalhandler,,,
flatted,2.0.2,ISC,https://github.com/WebReflection/flatted,,,
flexbuffer,0.0.6,UNKNOWN,https://github.com/mercadolibre/flexbuffer-node,,,
forwarded,0.1.2,MIT,https://github.com/jshttp/forwarded,,,
fresh,0.5.2,MIT,https://github.com/jshttp/fresh,,,
fs-extra,8.1.0,MIT,https://github.com/jprichardson/node-fs-extra,,,
graceful-fs,4.2.4,ISC,https://github.com/isaacs/node-graceful-fs,,,
heapdump,0.3.15,ISC,https://github.com/bnoordhuis/node-heapdump,,,
http-errors,1.7.2,MIT,https://github.com/jshttp/http-errors,,,
iconv-lite,0.4.24,MIT,https://github.com/ashtuchkin/iconv-lite,,,
inherits,2.0.3,ISC,https://github.com/isaacs/inherits,,,
ioredis,3.2.2,MIT,https://github.com/luin/ioredis,,,
ipaddr.js,1.9.1,MIT,https://github.com/whitequark/ipaddr.js,,,
jsonfile,4.0.0,MIT,https://github.com/jprichardson/node-jsonfile,,,
jsonwebtoken,8.5.1,MIT,https://github.com/auth0/node-jsonwebtoken,,,
jwa,1.4.1,MIT,https://github.com/brianloveswords/node-jwa,,,
jws,3.2.2,MIT,https://github.com/brianloveswords/node-jws,,,
lodash.assign,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.bind,4.2.1,MIT,https://github.com/lodash/lodash,,,
lodash.clone,4.5.0,MIT,https://github.com/lodash/lodash,,,
lodash.clonedeep,4.5.0,MIT,https://github.com/lodash/lodash,,,
lodash.defaults,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.difference,4.5.0,MIT,https://github.com/lodash/lodash,,,
lodash.flatten,4.4.0,MIT,https://github.com/lodash/lodash,,,
lodash.foreach,4.5.0,MIT,https://github.com/lodash/lodash,,,
lodash.includes,4.3.0,MIT,https://github.com/lodash/lodash,,,
lodash.isboolean,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isempty,4.4.0,MIT,https://github.com/lodash/lodash,,,
lodash.isinteger,4.0.4,MIT,https://github.com/lodash/lodash,,,
lodash.isnumber,3.0.3,MIT,https://github.com/lodash/lodash,,,
lodash.isplainobject,4.0.6,MIT,https://github.com/lodash/lodash,,,
lodash.isstring,4.0.1,MIT,https://github.com/lodash/lodash,,,
lodash.keys,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.noop,3.0.1,MIT,https://github.com/lodash/lodash,,,
lodash.once,4.1.1,MIT,https://github.com/lodash/lodash,,,
lodash.partial,4.2.1,MIT,https://github.com/lodash/lodash,,,
lodash.pick,4.4.0,MIT,https://github.com/lodash/lodash,,,
lodash.sample,4.2.1,MIT,https://github.com/lodash/lodash,,,
lodash.set,4.3.2,MIT,https://github.com/lodash/lodash,,,
lodash.shuffle,4.2.0,MIT,https://github.com/lodash/lodash,,,
lodash.values,4.3.0,MIT,https://github.com/lodash/lodash,,,
log4js,6.3.0,Apache-2.0,https://github.com/log4js-node/log4js-node,,,
media-typer,0.3.0,MIT,https://github.com/jshttp/media-typer,,,
merge-descriptors,1.0.1,MIT,https://github.com/component/merge-descriptors,,,
methods,1.1.2,MIT,https://github.com/jshttp/methods,,,
mime-db,1.45.0,MIT,https://github.com/jshttp/mime-db,,,
mime-types,2.1.28,MIT,https://github.com/jshttp/mime-types,,,
mime,1.6.0,MIT,https://github.com/broofa/node-mime,,,
ms,2.0.0,MIT,https://github.com/zeit/ms,,,
ms,2.1.1,MIT,https://github.com/zeit/ms,,,
ms,2.1.2,MIT,https://github.com/zeit/ms,,,
ms,2.1.3,MIT,https://github.com/vercel/ms,,,
nan,2.14.2,MIT,https://github.com/nodejs/nan,,,
negotiator,0.6.2,MIT,https://github.com/jshttp/negotiator,,,
on-finished,2.3.0,MIT,https://github.com/jshttp/on-finished,,,
parseurl,1.3.3,MIT,https://github.com/pillarjs/parseurl,,,
path-to-regexp,0.1.7,MIT,https://github.com/component/path-to-regexp,,,
proxy-addr,2.0.6,MIT,https://github.com/jshttp/proxy-addr,,,
qs,6.7.0,BSD-3-Clause,https://github.com/ljharb/qs,,,
range-parser,1.2.1,MIT,https://github.com/jshttp/range-parser,,,
raw-body,2.4.0,MIT,https://github.com/stream-utils/raw-body,,,
redis-commands,1.3.1,MIT,https://github.com/NodeRedis/redis-commands,,,
redis-parser,2.6.0,MIT,https://github.com/NodeRedis/node-redis-parser,,,
rfdc,1.2.0,MIT,https://github.com/davidmarkclements/rfdc,,,
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,,,
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer,,,
semver,5.7.1,ISC,https://github.com/npm/node-semver,,,
send,0.17.1,MIT,https://github.com/pillarjs/send,,,
serve-static,1.14.1,MIT,https://github.com/expressjs/serve-static,,,
setprototypeof,1.1.1,ISC,https://github.com/wesleytodd/setprototypeof,,,
statuses,1.5.0,MIT,https://github.com/jshttp/statuses,,,
streamroller,2.2.4,MIT,https://github.com/nomiddlename/streamroller,,,
toidentifier,1.0.0,MIT,https://github.com/component/toidentifier,,,
type-is,1.6.18,MIT,https://github.com/jshttp/type-is,,,
universalify,0.1.2,MIT,https://github.com/RyanZim/universalify,,,
unpipe,1.0.0,MIT,https://github.com/stream-utils/unpipe,,,
utf8,3.0.0,MIT,https://github.com/mathiasbynens/utf8.js,,,
utils-merge,1.0.1,MIT,https://github.com/jaredhanson/utils-merge,,,
uuid,3.4.0,MIT,https://github.com/uuidjs/uuid,,,
validator,9.4.1,MIT,https://github.com/chriso/validator.js,,,
vary,1.1.2,MIT,https://github.com/jshttp/vary,,,
