name*;version*;license*;vendor/community;end-of-support;dependencies;language
addressparser;1.0.1;MIT;https://github.com/andris9/addressparser;;;
agent-base;2.1.1;MIT;https://github.com/TooTallNate/node-agent-base;;;
ajv;5.5.2;MIT;https://github.com/epoberezkin/ajv;;;
amqplib;0.5.2;MIT;https://github.com/squaremo/amqp.node;;;
ansi-regex;2.1.1;MIT;https://github.com/chalk/ansi-regex;;;
ansi-styles;2.2.1;MIT;https://github.com/chalk/ansi-styles;;;
asn1;0.2.3;MIT;https://github.com/mcavage/node-asn1;;;
assert-plus;0.2.0;MIT;https://github.com/mcavage/node-assert-plus;;;
assert-plus;1.0.0;MIT;https://github.com/mcavage/node-assert-plus;;;
ast-types;0.10.2;MIT;https://github.com/benjamn/ast-types;;;
async;2.1.5;MIT;https://github.com/caolan/async;;;
asynckit;0.4.0;MIT;https://github.com/alexindigo/asynckit;;;
aws-sign2;0.6.0;Apache-2.0;https://github.com/mikeal/aws-sign;;;
aws-sign2;0.7.0;Apache-2.0;https://github.com/mikeal/aws-sign;;;
aws4;1.6.0;MIT;https://github.com/mhart/aws4;;;
axios;0.15.3;MIT;https://github.com/mzabriskie/axios;;;
axios;0.18.0;MIT;https://github.com/axios/axios;;;
base64url;2.0.0;MIT;https://github.com/brianloveswords/base64url;;;
bcrypt-pbkdf;1.0.1;BSD-3-Clause;;;;
bitsyntax;0.0.4;Custom: https://travis-ci.org/squaremo/bitsyntax-js.png;https://github.com/squaremo/bitsyntax-js;;;
bl;1.1.2;MIT;https://github.com/rvagg/bl;;;
bluebird;3.5.1;MIT;https://github.com/petkaantonov/bluebird;;;
boom;2.10.1;BSD-3-Clause;https://github.com/hapijs/boom;;;
boom;4.3.1;BSD-3-Clause;https://github.com/hapijs/boom;;;
boom;5.2.0;BSD-3-Clause;https://github.com/hapijs/boom;;;
buffer-equal-constant-time;1.0.1;BSD-3-Clause;https://github.com/goinstant/buffer-equal-constant-time;;;
buffer-more-ints;0.0.2;MIT*;https://github.com/dpw/node-buffer-more-ints;;;
buildmail;4.0.1;MIT;https://github.com/andris9/buildmail;;;
bytes;3.0.0;MIT;https://github.com/visionmedia/bytes.js;;;
caseless;0.11.0;Apache-2.0;https://github.com/mikeal/caseless;;;
caseless;0.12.0;Apache-2.0;https://github.com/mikeal/caseless;;;
chalk;1.1.3;MIT;https://github.com/chalk/chalk;;;
circular-json;0.5.1;MIT;https://github.com/WebReflection/circular-json;;;
co;3.0.6;MIT;https://github.com/visionmedia/co;;;
co;4.6.0;MIT;https://github.com/tj/co;;;
combined-stream;1.0.6;MIT;https://github.com/felixge/node-combined-stream;;;
commander;2.14.1;MIT;https://github.com/tj/commander.js;;;
core-util-is;1.0.2;MIT;https://github.com/isaacs/core-util-is;;;
cryptiles;2.0.5;BSD-3-Clause;https://github.com/hapijs/cryptiles;;;
cryptiles;3.1.2;BSD-3-Clause;https://github.com/hapijs/cryptiles;;;
dashdash;1.14.1;MIT;https://github.com/trentm/node-dashdash;;;
data-uri-to-buffer;1.2.0;MIT;https://github.com/TooTallNate/node-data-uri-to-buffer;;;
date-format;1.2.0;MIT;https://github.com/nomiddlename/date-format;;;
debug;2.2.0;MIT;https://github.com/visionmedia/debug;;;
debug;2.6.9;MIT;https://github.com/visionmedia/debug;;;
debug;3.1.0;MIT;https://github.com/visionmedia/debug;;;
deep-is;0.1.3;MIT;https://github.com/thlorenz/deep-is;;;
degenerator;1.0.4;MIT;https://github.com/TooTallNate/node-degenerator;;;
delayed-stream;1.0.0;MIT;https://github.com/felixge/node-delayed-stream;;;
depd;1.1.1;MIT;https://github.com/dougwilson/nodejs-depd;;;
double-ended-queue;2.1.0-0;MIT;https://github.com/petkaantonov/deque;;;
ecc-jsbn;0.1.1;MIT;https://github.com/quartzjer/ecc-jsbn;;;
ecdsa-sig-formatter;1.0.9;Apache-2.0;https://github.com/Brightspace/node-ecdsa-sig-formatter;;;
escape-string-regexp;1.0.5;MIT;https://github.com/sindresorhus/escape-string-regexp;;;
escodegen;1.9.0;BSD-2-Clause;https://github.com/estools/escodegen;;;
esprima;3.1.3;BSD-2-Clause;https://github.com/jquery/esprima;;;
estraverse;4.2.0;BSD-2-Clause;https://github.com/estools/estraverse;;;
esutils;2.0.2;BSD;https://github.com/estools/esutils;;;
extend;3.0.1;MIT;https://github.com/justmoon/node-extend;;;
extsprintf;1.3.0;MIT;https://github.com/davepacheco/node-extsprintf;;;
fast-deep-equal;1.0.0;MIT;https://github.com/epoberezkin/fast-deep-equal;;;
fast-json-stable-stringify;2.0.0;MIT;https://github.com/epoberezkin/fast-json-stable-stringify;;;
fast-levenshtein;2.0.6;MIT;https://github.com/hiddentao/fast-levenshtein;;;
file-uri-to-path;1.0.0;MIT;https://github.com/TooTallNate/file-uri-to-path;;;
follow-redirects;1.0.0;MIT;https://github.com/olalonde/follow-redirects;;;
follow-redirects;1.5.0;MIT;https://github.com/olalonde/follow-redirects;;;
forever-agent;0.6.1;Apache-2.0;https://github.com/mikeal/forever-agent;;;
form-data;2.0.0;MIT;https://github.com/form-data/form-data;;;
form-data;2.1.4;MIT;https://github.com/form-data/form-data;;;
form-data;2.3.2;MIT;https://github.com/form-data/form-data;;;
ftp;0.3.10;MIT;https://github.com/mscdex/node-ftp;;;
gcp-metadata;0.6.3;MIT;https://github.com/stephenplusplus/gcp-metadata;;;
generate-function;2.0.0;MIT;https://github.com/mafintosh/generate-function;;;
generate-object-property;1.2.0;MIT;https://github.com/mafintosh/generate-object-property;;;
