name*,version*,license*,vendor/community,end-of-support,dependencies,language
module name,licenses,repository,,,
ajv,6.12.6,MIT,https://github.com/ajv-validator/ajv,,,
asn1,0.2.4,MIT,https://github.com/joyent/node-asn1,,,
assert-plus,1.0.0,MIT,https://github.com/mcavage/node-assert-plus,,,
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit,,,
aws-sign2,0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign,,,
aws4,1.11.0,MIT,https://github.com/mhart/aws4,,,
bcrypt-pbkdf,1.0.2,BSD-3-Clause,https://github.com/joyent/node-bcrypt-pbkdf,,,
caseless,0.12.0,Apache-2.0,https://github.com/mikeal/caseless,,,
combined-stream,1.0.8,MIT,https://github.com/felixge/node-combined-stream,,,
core-util-is,1.0.2,MIT,https://github.com/isaacs/core-util-is,,,
dashdash,1.14.1,MIT,https://github.com/trentm/node-dashdash,,,
date-format,2.1.0,MIT,https://github.com/nomiddlename/date-format,,,
date-format,3.0.0,MIT,https://github.com/nomiddlename/date-format,,,
debug,4.3.1,MIT,https://github.com/visionmedia/debug,,,
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream,,,
ecc-jsbn,0.1.2,MIT,https://github.com/quartzjer/ecc-jsbn,,,
extend,3.0.2,MIT,https://github.com/justmoon/node-extend,,,
extsprintf,1.3.0,MIT,https://github.com/davepacheco/node-extsprintf,,,
fast-deep-equal,3.1.3,MIT,https://github.com/epoberezkin/fast-deep-equal,,,
fast-json-stable-stringify,2.1.0,MIT,https://github.com/epoberezkin/fast-json-stable-stringify,,,
flatted,2.0.2,ISC,https://github.com/WebReflection/flatted,,,
forever-agent,0.6.1,Apache-2.0,https://github.com/mikeal/forever-agent,,,
form-data,2.3.3,MIT,https://github.com/form-data/form-data,,,
fs-extra,8.1.0,MIT,https://github.com/jprichardson/node-fs-extra,,,
getpass,0.1.7,MIT,https://github.com/arekinath/node-getpass,,,
graceful-fs,4.2.4,ISC,https://github.com/isaacs/node-graceful-fs,,,
har-schema,2.0.0,ISC,https://github.com/ahmadnassri/har-schema,,,
har-validator,5.1.5,MIT,https://github.com/ahmadnassri/node-har-validator,,,
http-parser-js,0.4.13,MIT,https://github.com/creationix/http-parser-js,,,
http-signature,1.2.0,MIT,https://github.com/joyent/node-http-signature,,,
inherits,2.0.1,ISC,https://github.com/isaacs/inherits,,,
is-typedarray,1.0.0,MIT,https://github.com/hughsk/is-typedarray,,,
isstream,0.1.2,MIT,https://github.com/rvagg/isstream,,,
js2xmlparser,3.0.0,Apache-2.0,https://github.com/michaelkourlas/node-js2xmlparser,,,
jsbn,0.1.1,MIT,https://github.com/andyperlitch/jsbn,,,
json-schema-traverse,0.4.1,MIT,https://github.com/epoberezkin/json-schema-traverse,,,
json-schema,0.2.3,AFLv2.1,BSD,https://github.com/kriszyp/json-schema,,,
json-stringify-safe,5.0.1,ISC,https://github.com/isaacs/json-stringify-safe,,,
jsonfile,4.0.0,MIT,https://github.com/jprichardson/node-jsonfile,,,
jsprim,1.4.1,MIT,https://github.com/joyent/node-jsprim,,,
log4js,6.3.0,Apache-2.0,https://github.com/log4js-node/log4js-node,,,
mime-db,1.45.0,MIT,https://github.com/jshttp/mime-db,,,
mime-types,2.1.28,MIT,https://github.com/jshttp/mime-types,,,
ms,2.1.2,MIT,https://github.com/zeit/ms,,,
oauth-sign,0.9.0,Apache-2.0,https://github.com/mikeal/oauth-sign,,,
path,0.12.7,MIT,https://github.com/jinder/path,,,
performance-now,2.1.0,MIT,https://github.com/braveg1rl/performance-now,,,
process,0.11.10,MIT,https://github.com/shtylman/node-process,,,
psl,1.8.0,MIT,https://github.com/lupomontero/psl,,,
punycode,2.1.1,MIT,https://github.com/bestiejs/punycode.js,,,
qs,6.5.2,BSD-3-Clause,https://github.com/ljharb/qs,,,
request,2.88.2,Apache-2.0,https://github.com/request/request,,,
rfdc,1.2.0,MIT,https://github.com/davidmarkclements/rfdc,,,
safe-buffer,5.1.2,MIT,https://github.com/feross/safe-buffer,,,
safer-buffer,2.1.2,MIT,https://github.com/ChALkeR/safer-buffer,,,
sshpk,1.16.1,MIT,https://github.com/joyent/node-sshpk,,,
streamroller,2.2.4,MIT,https://github.com/nomiddlename/streamroller,,,
tough-cookie,2.5.0,BSD-3-Clause,https://github.com/salesforce/tough-cookie,,,
tunnel-agent,0.6.0,Apache-2.0,https://github.com/mikeal/tunnel-agent,,,
tweetnacl,0.14.5,Unlicense,https://github.com/dchest/tweetnacl-js,,,
universalify,0.1.2,MIT,https://github.com/RyanZim/universalify,,,
uri-js,4.4.1,BSD-2-Clause,https://github.com/garycourt/uri-js,,,
util,0.10.3,MIT,https://github.com/defunctzombie/node-util,,,
uuid,3.4.0,MIT,https://github.com/uuidjs/uuid,,,
verror,1.10.0,MIT,https://github.com/davepacheco/node-verror,,,
xmlcreate,1.0.2,Apache-2.0,https://github.com/michaelkourlas/node-xmlcreate,,,
